Date,INV (Stocks),CURR (Stocks),RET (Stocks),Stocks Status,INV (MF),CURR (MF),RET (MF),MF Status,Total INV,Total CURR,Total RET,Total Status
08/06/2025,"15,187.00","15,074.00",-0.74,🙏🙏,"₹44,998","₹43,564",-3.19,🙏🙏,"₹60,185","₹58,638",-2.57,🙏🙏
15/06/2025,"15,187.00","15,215.00",0.18,⬆️💹,"₹44,998","₹43,013",-4.41,⬇️📉,"₹60,185","₹58,228",-3.25,⬇️📉
22/06/2025,"15,187.00","15,110.00",-0.51,⬇️📉,"₹44,998","₹43,307",-3.76,⬆️💹,"₹60,185","₹58,417",-2.94,⬆️💹
29/06/2025,"15,187.00","15,033.00",-1.01,⬇️📉,"₹44,998","₹44,294",-1.56,⬆️💹,"₹60,185","₹59,327",-1.43,⬆️💹
06/07/2025,"17,047.00","16,995.00",-0.31,⬆️💹,"₹47,998","₹47,093",-1.89,⬇️📉,"₹65,045","₹64,088",-1.47,⬇️📉
13/07/2025,"17,047.00","16,990.00",-0.33,⬇️📉,"₹47,998","₹46,522",-3.08,⬇️📉,"₹65,045","₹63,512",-2.36,⬇️📉
20/07/2025,"17,047.00","17,070.00",0.13,⬆️💹,"₹47,998","₹46,636",-2.84,⬆️💹,"₹65,045","₹63,706",-2.06,⬆️💹
27/07/2025,"17,047.00","17,046.00",-0.01,⬇️📉,"₹47,998","₹46,255",-3.63,⬇️📉,"₹65,045","₹63,301",-2.68,⬇️📉
03/08/2025,"17,047.00","16,902.00",-0.85,⬇️📉,"₹47,998","₹45,678",-4.83,⬇️📉,"₹65,045","₹62,580",-3.79,⬇️📉
10/08/2025,"17,047.00","17,198.00",0.89,⬆️💹,"₹50,998","₹48,298",-5.29,⬇️📉,"₹68,045","₹65,496",-3.75,⬆️💹
17/08/2025,"17,047.00","17,136.00",0.52,⬇️📉,₹0,₹0,0.00,🔜,"₹17,047","₹17,136",0.52,⬆️💹
24/08/2025,0.00,0.00,0,🔜,₹0,₹0,0.00,🔜,₹0,₹0,0.00,🔜
31/08/2025,0.00,0.00,0,🔜,₹0,₹0,0.00,🔜,₹0,₹0,0.00,🔜
07/09/2025,0.00,0.00,0,🔜,"₹77,996","₹79,227",1.58,⬆️💹,"₹77,996","₹79,227",1.58,⬆️💹
14/09/2025,0.00,0.00,0,🔜,"₹77,996","₹81,561",4.57,⬆️💹,"₹77,996","₹81,561",4.57,⬆️💹
21/09/2025,0.00,0.00,0,🔜,"₹77,996","₹81,797",4.87,⬆️💹,"₹77,996","₹81,797",4.87,⬆️💹
28/09/2025,0.00,0.00,0,🔜,"₹77,996","₹85,304",9.37,⬆️💹,"₹77,996","₹85,304",9.37,⬆️💹
05/10/2025,0.00,0.00,0,🔜,"₹77,996","₹88,277",13.18,⬆️💹,"₹77,996","₹88,277",13.18,⬆️💹
12/10/2025,0.00,0.00,0,🔜,"₹90,995","₹1,07,942",18.62,⬆️💹,"₹90,995","₹1,07,942",18.62,⬆️💹
19/10/2025,0.00,0.00,0,🔜,"₹90,995","₹1,10,942",21.92,⬆️💹,"₹90,995","₹1,10,942",21.92,⬆️💹
26/10/2025,0.00,0.00,0,🔜,"₹90,995","₹1,02,747",12.91,⬇️📉,"₹90,995","₹1,02,747",12.91,⬇️📉
02/11/2025,0.00,0.00,0,🔜,"₹90,995","₹1,03,666",13.92,⬆️💹,"₹90,995","₹1,03,666",13.92,⬆️💹
09/11/2025,0.00,0.00,0,🔜,"₹1,03,994","₹1,15,689",11.25,⬇️📉,"₹1,03,994","₹1,15,689",11.25,⬇️📉
